87	2023-04-04	FI	Project Funding	1450000	990001	990000	350024	350000	Awaited
88	2023-04-04	FO	MTSS Share	402436	350024	350000	990011	990000	Awaited
89	2023-05-18	FI	Project Funding	42529000	990001	990000	350025	350000	Awaited
90	2023-05-18	FO	MTSS Share	11495552	350025	350000	990011	990000	Awaited
96	2023-07-03	FO	MTSS Share	8326271	350028	350000	990011	990000	Awaited
97	2023-07-04	FI	Project Funding	288000000	990001	990000	200014	200000	Awaited
98	2023-07-04	FO	MTSS Share	79932203	200014	200000	990011	990000	Awaited
99	2023-07-04	FI	Project Funding	18500000	990001	990000	200013	200000	Awaited
25	2018-02-20	FI	Incoming Funds	0	990009	990000	160001	160000	Paid
93	2023-06-15	FI	Project Funding	100000000	990001	990000	300005	300000	Awaited
94	2023-06-15	FO	MTSS Share	27754237	300005	300000	990011	990000	Awaited
95	2023-07-03	FI	Project Funding	30000000	990001	990000	350028	350000	Awaited
100	2023-07-04	FO	MTSS Share	5134534	200013	200000	990011	990000	Awaited
101	2023-07-20	FI	Project Funding	6838000	990001	990000	350027	350000	Awaited
102	2023-07-20	FO	MTSS Share	1897835	350027	350000	990011	990000	Awaited
103	2023-07-25	FI	Project Funding	53850000	990001	990000	250003	250000	Awaited
104	2023-07-25	FO	MTSS Share	14945657	250003	250000	990011	990000	Awaited
107	2023-08-03	FI	Project Funding	6356643	990001	990000	350029	350000	Awaited
108	2023-08-03	FO	MTSS Share	1764238	350029	350000	990011	990000	Awaited
109	2023-08-09	FI	Project Funding	38143000	990001	990000	350030	350000	Awaited
110	2023-08-09	FO	MTSS Share	10546530	350030	350000	990011	990000	Awaited
105	2023-07-26	FI	Project Funding	8800000	990001	990000	450002	450000	Awaited
106	2023-07-26	FO	MTSS Share	2442373	450002	450000	990011	990000	Awaited
111	2023-08-15	FI	Project Funding	146613490	990001	990000	350031	350000	Awaited
74	2022-11-24	FO	MTSS Share	1572180	200011	200000	990011	990000	Awaited
112	2023-08-15	FO	MTSS Share	37759186	350031	350000	990011	990000	Awaited
46	2018-10-01	FO	MTSS Share	17326495	350010	350000	990011	990000	Awaited
69	2020-04-07	FI	Project Funding	225258000	990001	990000	350013	350000	Awaited
70	2020-04-07	FO	MTSS Share	61270726	350013	350000	990011	990000	Awaited
24	2019-12-24	T	Loan return to RGA	6000000	200002	200000	160001	160000	Paid
21	2019-10-31	T	Loan return to FREC account (Old RGA)	1764706	200002	200000	160001	160000	Paid
73	2022-11-24	FI	Project Funding	5772180	990001	990000	200011	200000	Awaited
113	2023-10-05	FI	Project Funding	24709402	990001	990000	300006	300000	Awaited
56	2018-10-01	FO	MTSS Share	36548385	350014	350000	990011	990000	Awaited
91	2023-06-08	FI	Project Funding	12709636	990001	990000	350026	350000	Awaited
92	2023-06-08	FO	MTSS Share	3527463	350026	350000	990011	990000	Awaited
49	2021-10-12	FI	Project Funding	16034188	990001	990000	200006	200000	Awaited
50	2021-10-12	FO	MTSS Share	4358974	200006	200000	990011	990000	Awaited
114	2023-10-05	FO	MTSS Share	6857906	300006	300000	990011	990000	Awaited
45	2018-10-01	FI	Project Funding	64027350	990001	990000	350010	350000	Awaited
