337	Course	0	C-802 Missile Maintenance Course	China	5	Months	2003-07-14	13-20-08-3103	A	\N	Missile Weapon System Maintenance
342	Degree	30	SSC	Karachi Public School Korangi Campus (Safavi)	2	Years	2014-04-30	11-20-10-8913	86	\N	Science
344	Degree	35	HSC	New Fazaia Intermediate College Shahrah-e-Faisal	2	Years	2016-04-30	11-20-10-8913	83.36	\N	Pre-engineering
369	Degree	35	Higher Secondary School Certificate	Board of Intermediate Education Karachi	2	Years	2014-04-01	12-20-08-3519	A	\N	Pre-Engineering
364	Degree	30	SSC Part I	Board of Secondary Education Karachi	2	Years	2012-04-01	12-20-08-3519	A-One	\N	Science
409	Degree	30	Matric (Federal Board)	Bahria College Karachi	2	Years	2008-07-31	14-20-08-3763	85%	\N	Science
380	Degree	35	Commerce	Islamia College	2	Years	2012-04-01	12-20-08-9305	B Grade	\N	Commerce
396	Degree	35	Pre Engg	PN JCC	2	Years	1994-06-15	12-20-08-5743	A	\N	Maths, Physics, Chemistry
397	Degree	60	Electrical Engg	PNEC NUST	4	Years	1998-12-15	12-20-08-5743	B	\N	Electrical, Electronics
399	Course	0	PN STAFF COURSE	PN WAR Collage	11	Months	2012-07-15	12-20-08-5743	3.37	\N	War studies
400	Course	0	OQA	DPQ/SQ	2	Months	2006-10-15	12-20-08-5743	Q	\N	ISO-9001/2000
401	Course	0	Project Management Course	PDC NUST	2	Months	2010-12-10	12-20-08-5743	Q	\N	\N
403	Course	0	JOSDC	PN JCC	2	Months	1999-02-10	12-20-08-5743	Q	\N	Staff Duties
405	Degree	70	Masters in Business Administration	Bahria University Karachi	2	Years	2017-03-14	14-20-08-3763	3.83	\N	Marketing
407	Degree	35	Intermediate (Federal Board)	Bahria College Islamabad	2	Years	2010-07-31	14-20-08-3763	85%	\N	Pre-Engineering
420	Degree	35	Diploma	Azzizabad Commercial College	3	Years	2002-07-02	12-20-08-6687	B	\N	D.Com
421	Degree	30	SSC	Private	2	Years	1998-09-26	12-20-08-6687	D	\N	Arts
422	Course	0	Network Administration	NUST PDC	1	Months	2016-08-16	12-20-08-6687	\N	\N	Network
423	Course	0	A+ Certification	NUST PDC	3	Months	2010-03-24	12-20-08-6687	\N	\N	Hardware Networking
424	Course	0	Survillance Security System	HIKVISION	7	Days	2018-02-27	12-20-08-6687	\N	\N	CCTV
383	Course	0	Hikvision Camera	Hikvision	7	Days	2019-02-27	12-20-08-9305	\N	\N	CCTV Camera
425	Degree	30	SSC	Eden Pubblic High School	2	Years	2012-04-01	14-20-08-8545	A-one	\N	Science
428	Degree	35	HSC	Govt Degree College Malir Cantt	2	Years	2014-01-04	14-20-08-8545	B	\N	Pre-Engineering
429	Degree	60	Bachelors of Engineering	SZABIST	4	Years	2018-07-20	14-20-08-8545	2.92	\N	Engineering
