14-22-01-4214	FP-204	2023-01-01	2023-06-30	Yes
14-22-01-3217	FP-203	2023-01-01	2023-06-30	Yes
14-22-03-1439	FP-197	2023-01-01	2023-06-30	Yes
14-22-04-5964	FP-205	2023-01-01	2023-06-30	Yes
14-22-04-3081	FP-206	2023-01-01	2023-06-30	Yes
14-22-07-2827	FP-195	2023-01-01	2023-06-30	Yes
14-22-10-8599	FP-198	2023-01-01	2023-06-30	Yes
14-22-09-3063	FP-215	2023-01-01	2023-06-30	Yes
14-20-08-3763	FP-188	2023-01-01	2023-06-30	Yes
14-20-09-9481	NA	2023-01-01	2023-06-30	Yes
14-20-11-8023	FP-196	2023-01-01	2023-06-30	Yes
14-20-08-3007	FP-0548	2024-01-01	2024-06-30	Yes
14-21-11-6746	FP-0363	2024-01-01	2024-06-30	Yes
14-22-07-3445	Nil	\N	\N	Yes
14-21-12-7103	FP-0069	2024-01-01	2024-06-30	Yes
14-21-01-8345	FP-0361	2024-01-01	2024-06-30	Yes
14-20-08-6977	FP-0176	2024-01-01	2024-06-30	Yes
14-20-08-6239	FP-0143	2024-01-01	2024-06-30	Yes
14-20-06-9295	FP-0375	2024-01-01	2024-06-30	Yes
14-20-10-3639	FP-0539	2024-01-01	2024-06-30	Yes
14-22-09-6559	FP-0177	2024-01-01	2024-06-30	Yes
14-20-08-8409	FP-0364	2024-01-01	2024-06-30	Yes
14-20-08-2265	FP-0360	2024-01-01	2024-06-30	Yes
14-20-08-6681	FP-0547	2024-01-01	2024-06-30	Yes
14-20-10-6921	FP-0943	2024-01-01	2024-06-30	Yes
14-20-06-2173	FP-0043	2024-01-01	2024-06-30	Yes
14-20-12-4053	FP-0001	2024-01-01	2024-06-30	Yes
14-20-12-6095	FP-1309	2024-01-01	2024-06-30	Yes
14-20-12-2581	FP-0376	2024-01-01	2024-06-30	Yes
14-20-08-7529	Nil	\N	\N	Yes
14-20-08-1035	FP-0536	2024-01-01	2024-06-30	Yes
14-21-05-7969	FP-0530	2024-01-01	2024-06-30	Yes
14-20-08-3623	FP-0366	2024-01-01	2024-06-30	Yes
14-22-08-9227	FP-0534	2024-01-01	2024-06-30	Yes
14-22-04-8881	FP-0537	2024-01-01	2024-06-30	Yes
14-22-01-4526	FP-0068	2024-01-01	2024-06-30	Yes
14-23-02-8047	0066	2024-01-01	2024-06-30	Yes
14-22-09-4105	FP-1160	2024-01-01	2024-06-30	Yes
14-23-02-1055	FP-0071	2024-01-01	2024-06-30	Yes
14-22-04-1163	FP-0362	2024-01-01	2024-06-30	Yes
11-19-08-8746	FP 2789	2021-07-01	2024-06-30	Yes
14-23-02-7783	NA	2023-02-13	2023-06-30	Yes
11-22-12-2062	FP-2878	2023-04-08	2023-06-30	Yes
14-23-07-9947	\N	\N	\N	Yes
14-23-07-7278	\N	\N	\N	Yes
11-23-06-9067	FP-1215	2023-07-24	2023-12-31	Yes
11-23-07-8094	\N	\N	\N	Yes
11-23-05-9824	\N	\N	\N	Yes
11-23-05-5305	\N	\N	\N	Yes
12-23-07-6529	FP 1512	2023-07-31	2023-12-31	Yes
12-23-07-1659	FP 1502	2023-07-31	2023-12-31	Yes
12-23-07-9305	FP 1894	2023-07-31	2023-12-31	Yes
12-23-07-8573	FP 1510	2023-07-31	2023-12-31	Yes
12-23-07-4543	FP 1503	2023-07-31	2023-12-31	Yes
12-23-07-1111	FP 1509	2023-07-31	2023-12-31	Yes
14-23-09-6202	\N	\N	\N	Yes
14-23-10-8457	\N	\N	\N	Yes
